Available CPU Cores: 48

Testing UnrolledList (K=4) with numInitialElements = 100, range = 200, numRuns = 3
---
50% Adds, 50% Removes, 0% Contains
[2 threads]: avgTime= 3001133337, avgThroughput=2169, averageFinalSize=107
[6 threads]: avgTime= 3002871259, avgThroughput=3237, averageFinalSize=101
[12 threads]: avgTime= 3006005131, avgThroughput=4835, averageFinalSize=107
[18 threads]: avgTime= 3007061851, avgThroughput=5859, averageFinalSize=99
[24 threads]: avgTime= 3007223270, avgThroughput=6248, averageFinalSize=99
[30 threads]: avgTime= 3009391709, avgThroughput=6513, averageFinalSize=102
[36 threads]: avgTime= 3007674474, avgThroughput=6538, averageFinalSize=95
[42 threads]: avgTime= 3009333541, avgThroughput=6461, averageFinalSize=92
[46 threads]: avgTime= 3006884160, avgThroughput=6301, averageFinalSize=96

10% Adds, 10% Removes, 80% Contains
[2 threads]: avgTime= 3001060489, avgThroughput=4197, averageFinalSize=103
[6 threads]: avgTime= 3001764000, avgThroughput=6111, averageFinalSize=100
[12 threads]: avgTime= 3002448368, avgThroughput=9438, averageFinalSize=99
[18 threads]: avgTime= 3003418263, avgThroughput=12320, averageFinalSize=99
[24 threads]: avgTime= 3005415681, avgThroughput=15366, averageFinalSize=103
[30 threads]: avgTime= 3006605434, avgThroughput=18097, averageFinalSize=92
[36 threads]: avgTime= 3007940214, avgThroughput=20549, averageFinalSize=99
[42 threads]: avgTime= 3008195759, avgThroughput=22130, averageFinalSize=102
[46 threads]: avgTime= 3008656450, avgThroughput=22832, averageFinalSize=110

0% Adds, 0% Removes, 100% Contains
[2 threads]: avgTime= 3001239275, avgThroughput=16317, averageFinalSize=100
[6 threads]: avgTime= 3001944736, avgThroughput=13805, averageFinalSize=100
[12 threads]: avgTime= 3002940776, avgThroughput=107122, averageFinalSize=100
[18 threads]: avgTime= 3004649027, avgThroughput=114771, averageFinalSize=100
[24 threads]: avgTime= 3006408456, avgThroughput=65961, averageFinalSize=100
